Name	State
George Washington	Virginia
John Adams	Massachusetts
Thomas Jefferson	Virginia
James Madison	Virginia
James Monroe	Virginia
John Quincy Adams	Massachusetts
Andrew Jackson	Tennessee
Martin Van Buren	New York
William Henry Harrison	Ohio
John Tyler	Virginia
James K. Polk	Tennessee
Zachary Taylor	Louisiana
Millard Fillmore	New York
Franklin Pierce	New Hampshire
James Buchanan	Pennsylvania
Abraham Lincoln	Illinois
Andrew Johnson	Tennessee
Ulysses S. Grant	Ohio
Rutherford B. Hayes	Ohio
James A. Garfield	Ohio
Chester A. Arthur	New York
Grover Cleveland	New York
Benjamin Harrison	Indiana
Grover Cleveland (2nd term)	New York
William McKinley	Ohio
Theodore Roosevelt	New York
William Howard Taft	Ohio
Woodrow Wilson	New Jersey
Warren G. Harding	Ohio
Calvin Coolidge	Massachusetts
Herbert Hoover	Iowa
Franklin D. Roosevelt	New York
Harry S. Truman	Missouri
Dwight D. Eisenhower	Texas
John F. Kennedy	Massachusetts
Lyndon B. Johnson	Texas
Richard Nixon	California
Gerald Ford	Michigan
Jimmy Carter	Georgia
Ronald Reagan	California
George H. W. Bush	Texas
Bill Clinton	Arkansas
George W. Bush	Texas
Barack Obama	Illinois
